label,content
2,比想象中的小，也就刚好放个茶杯
1,这个碗，我挺喜欢的，白色的，没有多余的点缀，是我喜欢的类型，白白的，颜值挺高的，一个勺子，一个小碗，一个大碗，这样的组合很不错
0,电磁炉挺好！但是这个茶盘不怎么好。有一些缺陷。不怎么完美！
1,颜值很高，淡粉色加墨绿色，作为礼物是很好的选择，骨瓷材质轻薄，轻敲声音很脆
1,非常精致的主人杯，器型大小是我喜欢的类型，有了这个主人杯喝水都比平时多了，放在办公桌上很有仪式感。
1,过年摔了几个盘子，正好补上了。盘子比较美观，整体较为厚重，方便清洗。盘子花纹比较简约，做工较为细腻。而且盘子比较深，显得容量比较大，家里人数少的，可以选择小一号的
2,东西很粗糙，不高档，所有东西都很小，有一个勺子上有遐思，还有牙签盒很粗糙。
2,这个提把要改一下
0,杯子一股味，用茶水泡都没用
0,外包装纸箱质量差，印刷不规范质量差。内包装的是轻体泡沫，开箱泡沫飞的到处都是。杯盖出现破损说明出厂检查不够。杯底印有景德镇字样，但杯口不圆，杯壁不均，不知道是不是正规厂家。
1,"包装特点：包装很结实，防摔措施做的不错。
材质特点：骨瓷产品，容易清洗，不易留下茶渍。
容量大小：容量比较大，不用频繁的去倒水。
清洗难易：骨瓷产品，很容易清洗。
出水难易：出水很容易。"
0,杯子外面感觉很脏，怎么都洗不下来！不知道能不能退！一颗星都不想给！
2,快递很烂
0,陶瓷的质量还不错，但是茶托的质量不好，回来打开发现有条木条断了！这木的质量也够了，气味很臭！
2,感觉一般，瓷比较厚，不如前年买的，一分钱一分货，图便宜是不行的
2,奔着对京东的信任，购买了京东自营京东造的碗，但是却不尽人意，瓷碗是易碎品，包装却十分粗糙，导致破碎，售后服务只能整个退换，本身包装就不科学，退换会破碎更严重，也不能补发，为图省事就同意了售后申请京豆的意见，总之，多年来在京东购物，这次是最失望的。
2,一定要看清楚大小??
0,图片与实物不符，图片是木盖，实物不一样
1,实物看着更喜欢，色泽也很好
0,刚收到就是坏的卖家说给补发一个没消息了搞笑
1,"物流速度:物流速度非常快，因为需要的比较急，第二天早上就到了，不耽误使用。
产品包装:包装挺好没有磕碰。
使用效果:漂亮实用，摸着质感还可以，价格特别实惠！"
2,太大了( ′???`)
0,首屏展示木盖子，发来了陶瓷盖子，咨询了售后态度也不怎么样，劝退。
0,没有图片上的亮，而且水杯盖上还有两三道小刮痕
1,很喜欢 花色 大小都合适 就是有几款没货
2,京东快递一如既往的好，支持支持支持支持！
1,东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！东西已经收到！手感不错！用料扎实！质量很好！平常用基本没有问题！是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买
0,????邮过来碎成渣了，让我明天怎么办???好气
1,收到货，真是太惊讶了，好大的一个箱子，包装很好，没有破损，杯子茶盘都很好，物有所值
0,最差的一次购物，东西坏了没有下文，建议不要再网购
0,破损了，一直不补发
0,快递速度倒是挺快的，只不过寄过来的时候已经碎了
1,"东西终于到了，期待了很久，拿到手以后迫不及待的打开看了一下。果然没有辜负一的期望，茶具很好，质量做工都很
精致，非常适合泡茶，关键是价格也很实惠，这次购物非常满意"
1,快递太神速了、商家给力！商品质量很好、大碗溜光铮亮、透光度很好、非常轻巧结实、下次还在本店铺买。
0,很垃圾，茶杯外边脏东西洗不掉，里面也容易沾咖啡。
1,瓷器很通透光滑，质感相当不错，先买了点试试，之后再来回购
1,物流很棒，很快就到了。包装紧实，杯子保护的很好无裂痕，无破损。杯子很细腻好看，白玉如雪，无色差。质量也非常的好，金边显得很高档。完美无缺。
0,不想说什么了，做工真次，快递真慢！商家别找我
1,直播间看到的，立马入手，价格很划算，总共有20件套，4盘，8碗，8勺，颜色简约，碗边有简单的线条做点缀，表面很光滑，易清洗，做工很好
1,给闺蜜买的生日礼物，精致，漂亮，朋友喜欢，野兽派没得挑，上次也买的野兽派的小王子杯子，送的另外一个朋友，都很喜欢，必须好评～
2,就这玩意儿，有点贵了！不过既然买了，也就没法了！
0,打开包装一片狼藉，破碎好几个也是无语了
2,非常小，我以为是大一点的，唉！
2,一般般，感觉不怎么样，对不起这个价格
0,太差了，没收到货，就给我确认收货了！去熊猫快递找了三趟，才给我个结果，被不认识人拿走了，快递站老板说给我找，几天了，也没结果，找到了也用不了呀私人物品的说，说赔付金额，要单号和购买记录，也给她了，到现在也没赔付，消费者权益也太没有安全感了！没有一点保障啊！
2,碗的实际尺寸比商家宣传的要小！个人感觉价格偏高！
2,热水煮过后有掉**况，另外瓷面本身偶有凹凸。
1,小碟子大小合适，骨瓷的很好
1,这款紫茄款的很漂亮，这次刚好买了一个，四种款式凑齐了。都很漂亮，用它盛菜很有食欲啊。盘子大小是7寸，装菜除非分量太多，一般够用，和8寸深盘比起来还是小了点，盘子做工精细，瓷棉光滑，细腻，无瑕疵。釉下彩的盘子比较环保卫生，好洗。总之值得推荐给平时菜量不多，有情调的家庭。值得购买。一直选择美浓烧的产品。
1,非常满意！感觉像艺术品，能买到性价比这么高的产品，应该只能在京东了，很好！推荐购买，准备再入手一套，可惜没货了。
1,"包装完好无损。
美观程度：非常好
使用难易：简易
瓷质效果：棒棒哒
瓷质品质：杠杠的
质地效果：优良
釉面品质：晶莹透亮。"
0,一用就裂
